Race,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Black or African American,43,40,38,28,29,42,38,40,32,24,27,34,39,25,28,29
Non-Hispanic White,175,186,168,220,229,205,204,245,207,206,247,246,215,221,256,263
Native American and Alaskan Native,11,,,11,11,,12,,15,16,20,12,21,15,13,13
Asian,15,29,11,24,22,11,25,22,16,19,18,25,21,20,20,17
Hispanic or Latino,72,78,71,76,87,91,69,84,70,83,95,129,92,88,76,94
Multiple Races,26,41,33,22,38,34,25,31,36,35,23,32,26,21,21,27
Native Hawaiian or Pacific Islander,10,,,,,,,11,,,,,10,,,
