Worker Race,Works at home,Works outside the home,moe
African American,0.29,0.71,0.07
Asian,0.43,0.57,0.04
Hispanic,0.22,0.78,0.06
Other,0.39,0.61,0.06
White Only,0.38,0.62,0.02
Missing,0.4,0.6,0.07
Region,0.37,0.63,0.02
