"","variable","label","concept","acs_type","year","King_geography","King_share","King_share_moe","Kitsap_geography","Kitsap_share","Kitsap_share_moe","Pierce_geography","Pierce_share","Pierce_share_moe","Snohomish_geography","Snohomish_share","Snohomish_share_moe","Region_geography","Region_share","Region_share_moe","Ethnicity"
"1","B25003I_002","Owns Home","TENURE (HISPANIC OR LATINO HOUSEHOLDER)","acs5",2020,"block group",0.343811795724913,0.013594561807703,"block group",0.465481002425222,0.0459961496591354,"block group",0.46987431264729,0.0210812506116433,"block group",0.487618786549708,0.0290842511929549,"block group",0.404448576131547,0.0105109634938536,"Hispanic/Latinx"
"2","B25003H_002","Owns Home","TENURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)","acs5",2020,"block group",0.623348394020383,0.00360434998999136,"block group",0.71845075634917,0.0106670749406891,"block group",0.68685765806006,0.00425740987429971,"block group",0.706703860824926,0.00832242114056117,"block group",0.660510346221619,0.0027314743459367,"Non-Hispanic/Latinx White"
